# Barcode	Count
1	2256
10	0
11	4
12	0
13	0
14	0
15	4329
16	1
17	0
18	0
19	1
2	0
20	0
21	0
22	0
23	0
24	0
25	0
26	245
27	0
28	546
29	261
3	1082
30	30
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	2
4	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
49	4
5	0
50	2
51	0
52	0
53	1
54	25
55	0
56	0
57	30
58	0
59	0
6	1
60	1
61	3
62	0
63	0
64	0
65	0
66	0
67	0
68	0
7	6569
70	2
71	0
72	0
73	14543
74	0
75	0
76	20003
77	0
78	1
79	12
8	0
80	0
81	0
82	0
83	0
84	0
85	1
86	0
87	0
88	18
89	0
9	0
90	0
91	0
92	0
93	0
94	0
95	0
96	1
unmatched	179529
total	229503
