# Barcode	Count
1	39
10	0
11	2
12	3
13	10
14	4
15	369
16	4
17	5
18	14
19	7
2	1
20	0
21	5
22	0
23	0
24	0
25	0
26	24
27	0
28	6
29	67
3	222
30	3
31	3
32	0
33	2
34	0
35	0
36	1
37	3
38	6
39	20
4	2
40	1
41	0
42	0
43	0
44	2
45	0
46	6
47	2
49	0
5	0
50	25
51	8
52	0
53	2
54	13
55	0
56	13
57	19
58	6
59	0
6	3
60	3
61	7
62	0
63	0
64	0
65	4
66	0
67	0
68	2
7	396
70	4
71	0
72	0
73	821
74	0
75	9
76	262
77	3
78	4
79	4
8	4
80	1
81	3
82	7
83	5
84	0
85	6
86	0
87	5
88	15
89	2
9	3
90	0
91	0
92	0
93	0
94	0
95	4
96	7
unmatched	94164
total	96667
