# Barcode	Count
1	632
10	1
11	4
12	1
13	2
14	4
15	391
16	7
17	10
18	6
19	6
2	5
20	1
21	6
22	2
23	1
24	0
25	2
26	7
27	1
28	7
29	40
3	5
30	4
31	4
32	0
33	6
34	5
35	4
36	4
37	1
38	10
39	7
4	10
40	2
41	1
42	0
43	1
44	3
45	6
46	8
47	6
49	1
5	2
50	13
51	6
52	5
53	1
54	9
55	2
56	9
57	4
58	2
59	7
6	4
60	4
61	11
62	0
63	2
64	1
65	7
66	0
67	3
68	6
7	12
70	3
71	2
72	2
73	5
74	0
75	3
76	1030
77	10
78	5
79	3
8	7
80	3
81	1
82	3
83	2
84	3
85	2
86	0
87	6
88	5
89	4
9	6
90	1
91	3
92	0
93	0
94	0
95	4
96	5
unmatched	81168
total	83620
