# Barcode	Count
1	17
10	0
11	2
12	1
13	2
14	0
15	304
16	4
17	1
18	4
19	2
2	0
20	1
21	0
22	0
23	0
24	0
25	0
26	10
27	0
28	2
29	15
3	195
30	2
31	1
32	0
33	0
34	0
35	0
36	0
37	0
38	2
39	4
4	2
40	0
41	0
42	0
43	0
44	0
45	0
46	3
47	0
49	0
5	0
50	10
51	0
52	0
53	0
54	10
55	0
56	3
57	5
58	2
59	0
6	2
60	3
61	1
62	0
63	0
64	0
65	0
66	0
67	0
68	3
7	290
70	4
71	0
72	0
73	828
74	0
75	1
76	85
77	1
78	2
79	2
8	1
80	0
81	0
82	3
83	2
84	0
85	1
86	0
87	1
88	19
89	0
9	1
90	0
91	0
92	0
93	0
94	0
95	2
96	7
unmatched	73427
total	75290
