# Barcode	Count
1	684
10	0
11	4
12	7
13	9
14	6
15	801
16	5
17	1
18	8
19	4
2	14
20	1
21	3
22	5
23	0
24	0
25	1
26	13
27	1
28	10
29	159
3	16
30	5
31	5
32	0
33	5
34	4
35	2
36	5
37	4
38	14
39	4
4	11
40	2
41	1
42	0
43	3
44	1
45	7
46	6
47	2
49	2
5	0
50	19
51	9
52	6
53	4
54	22
55	1
56	10
57	10
58	8
59	5
6	2
60	6
61	15
62	0
63	1
64	4
65	5
66	1
67	2
68	6
7	8
70	14
71	3
72	6
73	6
74	0
75	12
76	835
77	9
78	9
79	3
8	0
80	4
81	1
82	10
83	2
84	0
85	9
86	0
87	7
88	9
89	3
9	6
90	3
91	3
92	0
93	0
94	0
95	10
96	8
unmatched	92928
total	95879
