# Barcode	Count
1	230
10	0
11	0
12	0
13	0
14	0
15	591
16	0
17	0
18	1
19	2
2	2
20	0
21	2
22	0
23	0
24	0
25	1
26	1
27	0
28	1
29	44
3	0
30	0
31	0
32	2
33	0
34	0
35	0
36	1
37	0
38	1
39	2
4	0
40	0
41	0
42	0
43	1
44	0
45	0
46	0
47	2
49	0
5	0
50	1
51	0
52	0
53	0
54	19
55	0
56	1
57	1
58	3
59	0
6	1
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	1
7	3
70	0
71	0
72	0
73	0
74	0
75	0
76	1527
77	0
78	0
79	0
8	1
80	0
81	0
82	0
83	0
84	0
85	1
86	0
87	0
88	1
89	0
9	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
unmatched	90046
total	92490
