# Barcode	Count
1	89
10	0
11	4
12	1
13	14
14	4
15	553
16	5
17	0
18	11
19	7
2	7
20	0
21	5
22	0
23	1
24	2
25	0
26	56
27	0
28	142
29	128
3	4
30	11
31	5
32	0
33	4
34	0
35	1
36	1
37	2
38	3
39	7
4	8
40	3
41	0
42	0
43	2
44	1
45	0
46	3
47	3
49	0
5	0
50	34
51	9
52	0
53	2
54	57
55	0
56	13
57	8
58	12
59	0
6	4
60	5
61	6
62	0
63	0
64	1
65	4
66	0
67	1
68	9
7	17
70	4
71	0
72	0
73	1131
74	0
75	8
76	497
77	3
78	2
79	10
8	2
80	3
81	0
82	5
83	8
84	1
85	6
86	0
87	3
88	11
89	0
9	3
90	0
91	3
92	0
93	0
94	0
95	2
96	7
unmatched	339179
total	342157
