# Barcode	Count
1	13
10	0
11	7
12	1
13	0
14	0
15	317
16	5
17	1
18	8
19	5
2	1
20	0
21	3
22	0
23	0
24	0
25	0
26	5
27	0
28	3
29	25
3	2
30	6
31	4
32	0
33	0
34	0
35	2
36	1
37	0
38	1
39	4
4	1
40	0
41	0
42	0
43	0
44	3
45	0
46	0
47	2
49	6
5	0
50	9
51	0
52	0
53	2
54	23
55	0
56	5
57	9
58	5
59	0
6	4
60	2
61	13
62	0
63	0
64	1
65	4
66	0
67	0
68	4
7	834
70	4
71	0
72	0
73	833
74	0
75	2
76	40
77	7
78	1
79	4
8	0
80	1
81	2
82	7
83	9
84	0
85	4
86	0
87	2
88	14
89	0
9	2
90	1
91	1
92	0
93	0
94	0
95	2
96	7
unmatched	88257
total	90541
