# Barcode	Count
1	813
10	0
11	2
12	1
13	11
14	7
15	263
16	5
17	6
18	16
19	6
2	7
20	1
21	7
22	3
23	1
24	2
25	2
26	27
27	1
28	13
29	184
3	7
30	10
31	6
32	1
33	2
34	3
35	1
36	6
37	7
38	4
39	7
4	16
40	6
41	1
42	0
43	0
44	2
45	2
46	10
47	10
49	2
5	0
50	12
51	10
52	3
53	6
54	23
55	2
56	13
57	7
58	7
59	1
6	7
60	5
61	7
62	0
63	2
64	1
65	5
66	0
67	1
68	9
7	11
70	1
71	8
72	8
73	3
74	0
75	10
76	870
77	13
78	6
79	3
8	2
80	2
81	0
82	8
83	12
84	7
85	5
86	0
87	9
88	9
89	7
9	8
90	2
91	2
92	0
93	0
94	0
95	6
96	6
unmatched	96408
total	99028
