# Barcode	Count
1	19
10	0
11	1
12	0
13	1
14	0
15	410
16	9
17	0
18	11
19	4
2	0
20	0
21	3
22	0
23	0
24	0
25	0
26	49
27	0
28	114
29	36
3	5
30	13
31	4
32	0
33	3
34	0
35	1
36	0
37	0
38	1
39	14
4	5
40	0
41	0
42	0
43	0
44	1
45	0
46	0
47	0
49	0
5	0
50	22
51	1
52	0
53	0
54	27
55	0
56	8
57	9
58	5
59	0
6	2
60	3
61	5
62	0
63	0
64	0
65	3
66	0
67	0
68	6
7	16
70	4
71	0
72	0
73	1176
74	0
75	0
76	497
77	8
78	1
79	6
8	0
80	1
81	2
82	5
83	6
84	0
85	2
86	0
87	3
88	14
89	0
9	0
90	0
91	1
92	0
93	0
94	0
95	4
96	8
unmatched	95775
total	98324
