condition,tau_rep1,se_rep1,tau_rep2,se_rep2,tau_rep3,se_rep3
LB,2.4244096864816838,0.15038810708741426,1.717642255350788,0.3019653781048506,2.351707199268831,0.07216021618733819
LB+Ab,28.68376476381387,0.51354623239079,27.737229926019825,0.5998627272442576,25.37926167359591,0.9695648850890172
invasion,15.0,,15.0,,15.0,
