,Barcodes,9-13,10-13,11-13,12-13,13-13,14-13,15-13,16-13,9-14,10-14,11-14,12-14,13-14,14-14,15-14,16-14,9-15,10-15,11-15,12-15,13-15,14-15,15-15,16-15,9-16,10-16,11-16,12-16,13-16,14-16,15-16,16-16,9-17,10-17,11-17,12-17,13-17,14-17,15-17,16-17,9-18,10-18,11-18,12-18,13-18,14-18,15-18,16-18,9-19,10-19,11-19,12-19,13-19,14-19,15-19,16-19,9-20,10-20,11-20,12-20,13-20,14-20,15-20,16-20,9-21,10-21,11-21,12-21,13-21,14-21,15-21,16-21,9-22,10-22,11-22,12-22,13-22,14-22,15-22,16-22,9-23,10-23,11-23,12-23,13-23,14-23,15-23,16-23,9-24,10-24,11-24,12-24,13-24,14-24,15-24,16-24
50,52,187,16,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,165,0,0,0,0,0,0,0,154,1,0,0,0,0,0,0,161,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,53,160,74,6,0,0,0,0,0,0,99,2,0,0,0,0,0,0,104,2,0,0,0,0,0,169,6,0,0,0,0,0,0,230,6,0,0,0,0,0,0,191,4,0,0,0,0,0,0,0,44,1,0,0,0,0,0,1,15,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,54,167,160,115,62,2,0,0,0,0,255,11,0,0,0,0,0,0,252,17,74,1,0,0,0,265,13,0,0,0,0,0,0,316,19,0,0,0,0,0,0,301,5,0,0,0,0,0,0,0,222,154,22,2,0,0,0,0,135,3,0,0,0,0,0,0,209,17,2,0,0,0,0,0,49,0,1,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,55,138,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,94,0,0,0,0,0,0,0,80,1,0,0,0,0,0,0,96,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,56,333,454,16,0,0,0,0,0,0,623,3,2,0,0,0,1,0,592,29,1,0,1,0,0,350,25,2,0,0,0,0,0,386,39,1,0,0,0,0,0,288,19,0,0,0,0,0,0,1,148,0,0,0,0,0,0,1,84,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,53,1,1,0,0,0,0,0,24,0,0,0,0,0,0,0,2,0,0,0,0,0,0
55,57,189,343,46,37,23,0,0,0,0,514,33,42,3,0,0,0,0,475,84,0,1,0,0,0,259,14,5,0,0,0,0,0,283,16,1,0,0,0,0,0,231,11,1,0,0,0,0,0,0,310,21,29,13,0,0,0,0,230,43,5,6,1,0,0,0,501,1,1,0,0,0,0,0,128,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,3,0,0,0,0,0,0
56,58,134,123,19,0,0,0,0,0,0,177,6,1,0,0,0,0,0,188,9,0,2,0,0,0,236,5,0,0,0,0,0,0,265,6,0,0,0,0,0,0,240,7,0,0,0,0,0,0,0,233,2,0,0,0,0,0,0,77,0,0,0,0,0,0,0,155,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,59,155,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,119,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,60,133,222,26,0,0,0,0,0,0,284,16,0,0,0,0,0,0,259,35,2,1,0,0,0,169,7,1,0,0,0,0,0,207,31,0,0,0,0,0,0,167,58,11,0,0,0,0,0,0,89,1,0,0,0,0,0,0,92,0,0,0,1,0,0,0,126,11,1,0,0,0,0,0,11,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,6,2,0,0,0,0,0
59,61,166,237,50,0,0,0,0,0,0,249,50,8,0,0,0,0,0,251,18,0,0,0,0,1,201,9,1,0,0,0,0,0,218,35,5,0,0,0,0,0,220,24,0,1,0,0,0,0,0,472,3,1,0,0,0,0,0,130,16,0,0,0,0,0,0,183,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,36,0,0,0,0,0,0,0,1,2,0,0,0,0,0
60,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,63,115,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,89,3,0,0,0,0,0,0,86,1,0,0,0,0,0,0,101,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,64,33,11,1,0,0,0,0,0,0,13,1,0,0,0,0,0,0,10,0,0,0,0,0,0,19,0,0,0,0,0,0,0,24,5,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,65,194,123,9,0,0,0,0,0,0,167,2,0,0,0,0,0,0,172,4,0,0,0,0,0,246,6,0,0,0,0,0,0,328,17,0,0,0,0,0,0,269,1,0,0,0,0,0,0,1,108,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,118,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,66,206,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,67,300,9,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,14,0,0,0,0,0,0,146,1,0,0,0,0,0,0,129,2,0,0,0,0,0,0,159,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,68,145,82,19,0,0,0,0,0,0,157,2,0,0,0,0,0,0,158,32,2,0,0,0,0,209,7,0,0,0,0,0,0,240,27,0,0,0,0,0,0,226,7,0,0,0,0,0,0,0,90,0,0,0,0,0,0,1,71,0,0,0,0,0,0,0,86,46,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,70,166,181,26,0,0,0,0,0,0,203,18,0,0,0,0,0,0,249,5,0,1,0,0,0,168,4,0,0,0,0,0,0,183,29,0,0,0,0,0,0,183,13,0,0,0,0,0,0,0,293,1,0,0,0,0,0,0,65,1,0,0,0,0,0,0,148,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,5,0,0,0,0,0,0
68,71,139,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,16,0,0,0,0,0,0,136,1,0,0,0,0,0,0,110,2,0,0,0,0,0,0,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,72,220,39,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,22,0,0,0,0,0,0,132,3,0,0,0,0,0,0,193,10,1,0,0,0,0,0,189,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,73,157,150,77,7095,18385,7,5,2,0,228,157,12068,20948,9,2,1,0,241,1160,14909,28714,18,6,4,170,11,0,0,1,0,0,0,180,73,0,1,0,0,0,0,149,17,0,0,0,0,0,0,0,49,1182,16333,14967,10,3,1,2,49,1697,13603,17563,11,6,6,2,65,7605,15523,26822,9,12,7,2,6,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,2,0,0,0,0,0,0
71,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,75,232,166,17,1,0,0,0,0,0,227,1,0,0,0,0,0,0,180,5,0,0,0,0,0,316,9,0,0,0,0,0,0,316,17,0,0,0,0,0,0,316,4,1,0,0,0,0,0,0,95,3,0,0,0,0,0,0,47,0,0,0,0,0,0,0,73,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
