P0,replicate,half_life,half_life_se,right_censored
100,1,14.0,,True
100,2,14.0,,True
100,3,14.0,,True
90,1,14.0,,True
90,2,14.0,,True
90,3,14.0,,True
50,1,6.210297654040152,0.28846051338772327,False
50,2,6.248361418488394,0.16297435288043013,False
50,3,6.0,0.6659013485105891,False
