P0,replicate,half_life,half_life_se,right_censored
100,1,5.298236511948464,0.00984748141301818,False
100,2,4.868904393159048,0.007834699990192229,False
100,3,5.040692153141824,0.006821916018125375,False
99,1,3.592081925339668,0.0034547681809293527,False
99,2,3.701201240633875,0.003525295267486003,False
99,3,3.544402047748423,0.0026373138556874814,False
90,1,2.053320378304185,0.005859818995678201,False
90,2,1.9630790921843966,0.006507813720361893,False
90,3,2.318434875176734,0.003378236350920819,False
50,1,1.0449296011213585,0.006039150858964648,False
50,2,1.1401901789231557,0.0042069356476470005,False
50,3,1.1329247855053082,0.004615698290230558,False
20,1,1.1249397235678342,0.010174241812819102,False
20,2,0.8008404570348887,0.015303884919487415,False
20,3,0.8319232163447428,0.01612130384248351,False
