P0,replicate,half_life,half_life_se,right_censored
100,1,8.915386293154803,0.004101036615162427,False
100,2,2.720786616620962,0.003595570940767414,False
100,3,8.640422765967028,0.0016227194131114946,False
99,1,4.612089012842388,0.0014001431024802133,False
99,2,2.9550003197982346,0.0033333625932299585,False
99,3,4.282916769706991,0.000504979530172797,False
90,1,2.5274788754346034,0.001418127302320467,False
90,2,2.283611398695057,0.0009847807809773863,False
90,3,3.054880995431748,0.0027564983255208985,False
50,1,1.1205687487130143,0.004556133989121772,False
50,2,1.2582778985649807,0.0036209393715421895,False
50,3,1.3329394546777327,0.005450672916177772,False
20,1,1.1093429276499465,0.005851034058159804,False
20,2,0.7805609075274312,0.0019270183349468504,False
20,3,0.8984076760353152,0.0025588640613511304,False
