plasmid,half_life,half_life_se
pSC101,2.04953308912926,0.03974341339839499
pSC101,2.1272692960265904,0.02565047148627239
pSC101,2.0465631249050205,0.021168511972018744
pSC101,1.9878818520144554,0.07185812515158668
pSC101,2.009086388995077,0.03177863622000491
pSC101,1.5679708794906826,0.029574923612901836
pSC101,2.7823028464500332,0.24882776354123518
pSC101,1.4074440628265645,0.053241184511743776
pSC101,1.491266233289276,0.04258313938788993
colE1,1.5031767721723936,0.047957175008124624
colE1,1.526895801481616,0.05598429112516795
colE1,1.5152749966483245,0.056057044951864865
colE1,1.6440039523045191,0.04606945308981294
colE1,1.7732827869623702,0.02550391190246967
colE1,1.4016083522426017,0.020335898065760454
colE1,1.3387730450643878,0.019658107021815738
colE1,1.479498854040643,0.004005861347726893
colE1,1.2506964397567844,0.032378816620217715
pUC,2.3671280178926337,0.038573996129525535
pUC,1.8539628898854197,0.136296034038991
pUC,1.4349236998875472,0.020533553989084224
pUC,2.070372517929509,0.017596072226891257
pUC,1.8510340330923178,0.012797912620086756
pUC,1.6476084760333662,0.014332342323069206
pUC,0.9449035081385727,0.045679849957642585
pUC,3.667236540637551,0.08448699109093068
pUC,2.135243341536462,0.1576846282478335
