plasmid,half_life,half_life_se
pSC101,2.2905071420467054,0.0879156562755429
pSC101,3.2029539762949404,0.3338936619616226
pSC101,2.5174514865241107,0.08780531707109068
pSC101,3.112304489883274,0.148951245018268
pSC101,2.8036843963889484,0.14445929923994882
pSC101,2.6194626049300904,0.0401165802399202
pSC101,4.0,
pSC101,2.4195391294408126,0.09385402132084343
pSC101,1.7896769120376235,0.025142652402238997
colE1,1.614706964936775,0.16840097502651946
colE1,1.700261899578324,0.08419949758213824
colE1,1.0764740967238478,0.05398775976248293
colE1,1.730138730584616,0.08575858585709459
colE1,1.588622524264682,0.0541793075945883
colE1,1.771529662048051,0.09908074298573512
colE1,1.1066538437383422,0.032938501511872935
colE1,1.7759095492339283,0.02144374146733621
colE1,1.76720876440959,0.045408871152090205
pUC,2.2350300566685095,0.014900166465517674
pUC,2.273354531507742,0.014548484864547769
pUC,2.311009458371489,0.03637267972554019
pUC,2.3021247717063607,0.09833947579994934
pUC,2.1270464907091933,0.046821091635609074
pUC,2.425070989108467,0.021796878315113358
pUC,1.9668475189391923,0.05936386023030234
pUC,2.2259146122476783,0.03563574079166826
pUC,1.9803121205019518,0.0749019662064224
