time,mean_0,std_0,mean_1/64,std_1/64,mean_1/32,std_1/32,mean_1/16,std_1/16,mean_1/8,std_1/8,mean_1/4,std_1/4,mean_1/2,std_1/2,mean_1,std_1
0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0
1,31.822367393037883,2.684905849762824,31.822367393037883,2.684905849762824,31.822367393037883,2.684905849762824,31.822367393037883,2.684905849762824,31.822367393037883,2.684905849762824,31.822367393037883,2.684905849762824,31.822367393037883,2.684905849762824,31.822367393037883,2.684905849762824
2,23.476647757844347,2.5154136584359015,23.476647757844347,2.5154136584359015,23.476647757844347,2.5154136584359015,23.476647757844347,2.5154136584359015,23.476647757844347,2.5154136584359015,23.476647757844347,2.5154136584359015,23.476647757844347,2.5154136584359015,23.476647757844347,2.5154136584359015
3,20.229831787986583,2.434555759463747,28.220377583624714,2.822789731981116,35.84469987710209,2.7302653566688773,43.662348509017676,3.4255846697392465,86.16842393540423,6.173395955987355,99.68689688868164,1.6429880799780376,97.63120838311757,0.7804438389762665,96.6359270888177,0.18103396701671853
4,14.932543137052308,0.803211121833887,59.68663568626829,5.03035277308696,76.46465431337914,1.3263749900064594,81.16080047957665,1.5150198569808102,89.61876114333467,0.7867170592772531,91.47025502358656,2.6259147560721057,92.36547642306368,0.8952222272802908,91.683108637943,3.840515874469978
5,14.15122684349496,2.4845410409238693,53.01595335353388,5.702881755348787,73.19052611668891,3.0670691774739267,83.00112609112098,5.730450185914775,93.88283947455925,2.130389764058721,94.30662511262778,2.8829530717058383,95.50082401047779,3.018404559257668,94.31773597734042,1.116426541088964
6,9.991969553366646,1.8044097233694676,43.55124496034006,4.31758258070799,65.40576544404414,3.454294443303976,73.5450084088803,4.7121803881129605,88.15449229340487,3.0834166464697117,90.27710048124057,4.949006639735765,87.90967170279845,3.6730859687664097,88.06700752976685,3.344386297070633
7,6.568993266869813,0.6159553161857529,34.07806551447157,4.261695171487094,57.90964058052479,5.322410405508991,70.09293625546529,7.397435678224144,89.79359547323202,5.040007959601191,90.68965528685378,5.490312326387897,91.03104749164252,4.283118005253814,91.00902849384204,3.6291423820701496
8,5.109044437027854,0.5243460750809062,27.220898773679668,3.9465860664015513,49.439109794994884,5.754566606125186,65.16302294918675,6.789644605938787,91.9676863887881,3.721181740739038,94.43517436024337,2.9199887437728447,95.24412875943023,0.14499604476177275,97.03570774416045,1.0688393469186002
9,3.7863646659372967,0.1952214339311443,20.068645860957414,2.7665528314930437,38.537650400810264,4.992507619790329,55.022445118723816,9.315622336954675,88.08960543208347,6.073524498263711,100.8317592402412,0.33945227072605855,96.22020918296755,4.549635463816975,94.2973052472251,5.484730237034491
10,2.780523991917153,0.1744472245756871,13.495556108129113,1.8814384590104594,26.860347578551654,3.113260482667052,42.78398711760145,5.996875961909088,84.25010083642637,6.645563426932914,94.2897640964887,2.370903296715939,95.24472689820196,2.500337660048041,93.22483174564195,2.493531551653069
11,0.10000000000000002,1.6996749443881478e-17,2.5813296981904523,0.8429519537326231,11.680810296350705,2.718947994699993,24.865561116041736,7.186818599149386,64.63919019324182,12.495947030280135,84.83204718807822,1.2061339934699524,87.38108464768804,0.984335629334679,88.46773057939795,3.407440653062834
12,0.48181731981632714,0.050986869771895774,4.122564274440777,0.6946294829508699,11.264244071449795,2.0171103426528854,22.526369638191056,6.5500189532567905,60.555755150138026,18.76548311165844,95.90847084533895,0.5242489906028144,92.01640804940867,5.428629629092685,95.41080271638612,1.3595510398722201
13,0.3105595138248369,0.03730637082433839,3.408521579638107,0.9779592448551321,9.199755917824058,2.3442539179412316,21.565808989809614,9.531613133393146,58.18274914168765,22.66189126321191,96.29667440764395,3.5085745386419824,99.83223883254198,2.012843871257333,98.62040565601247,3.8390397348741376
14,1.1190643399307791,0.36411925222783786,3.4600427857180702,1.1072756069400467,8.785343920441013,3.446399167355554,20.924974469383717,10.234701107061287,57.35702250087852,26.28069989240373,103.42130453137209,2.857350090883234,105.77382719068186,2.7357813329518086,101.64649743526002,4.7795772467778255
15,1.8242245701772906,0.4173608125187439,4.146664768022873,1.3932396935726405,8.370993634642414,3.588787703361797,20.823565208450972,10.838809759666102,56.1503967312982,26.51365666711505,100.39291747900454,3.172734102361689,101.48594486026222,3.1320434455875903,102.50554866013009,3.8602828180537028
16,1.2378756150824775,0.133688043287539,3.295907007903638,1.0124766111018813,6.026516864613126,2.5554410128520693,16.368517930768018,9.085683720311962,50.47979499689188,30.03651498560517,93.77960188169168,5.71122701425201,92.60927446700343,11.913431255036166,96.06726472419581,4.5344245493953155
17,1.181287149089311,0.4667961422632366,2.893872660815113,0.8133217727534438,4.185505975420798,2.042058270015401,13.245671724633858,8.435620750584835,47.30035197646034,34.922894065556754,95.56639810171309,2.076222763528179,91.53089452900416,16.506668105854565,97.02319823403025,5.252379570225642
18,1.6884093448507478,0.2771392161905176,3.132067506339285,0.6600951981291583,4.1199420372055675,1.3028195950021926,11.093634059665538,6.657469101801179,46.30226053259131,38.06208301429492,91.07492808945659,1.2733140903403526,88.47287482506367,25.711387184632457,91.73575115635636,3.5780904488373664
19,1.518494109461044,0.31349407235881455,3.2135676957864034,0.31788374577635803,3.474501908958763,0.5638941931452843,8.951886612915475,5.123403848933569,40.801668222979494,40.124714029266386,98.29667601164876,10.349388342730583,95.04295550543905,38.62823566691081,100.76095702658182,6.935015538337086
20,1.8215493219110328,0.21360393015751497,3.0321656468828024,0.3032594416388697,3.0898408635140058,0.1593184706407661,7.485497910754717,2.3103984936530635,35.75400691072866,37.410389980632026,93.62370382920064,6.087888330123173,87.65211814870968,33.799711661418414,101.18273166857439,2.9325752055619874
