time,mean_100%,std_100%,mean_99%,std_99%,mean_90%,std_90%,mean_50%,std_50%,mean_20%,std_20%
0,100.0,0.0,99.0,0.0,90.0,0.0,50.0,0.0,20.0,0.0
1,99.84837000765337,4.857137590328872,106.30606497553066,3.3497985034033473,80.93589203149932,1.8993937986398577,28.111041904213362,1.8596872524103925,9.55959468303174,1.7456232337633006
2,84.45904224488206,4.503654570984365,79.89155716948811,4.190583296018332,49.4240871380317,7.3257384707029445,9.922091603054218,0.9060544586522986,2.584111650279819,1.2014630398684507
3,91.25491818846865,4.307651584364288,65.2155173472443,2.727406806300702,23.85571307843304,3.5093053689187577,3.174054566139055,0.2677394340518872,0.4309859920856194,0.4196623677274546
4,69.03147836584041,3.3000334462237877,41.403084585875696,3.011846182837796,9.657519710775427,1.809870550183243,0.10000000000000002,1.6996749443881478e-17,0.10000000000000002,1.6996749443881478e-17
5,51.33550075701627,3.856902431028977,26.320074153027807,3.1315886649950735,3.9550863612348586,1.150341111424515,0.10000000000000002,1.6996749443881478e-17,0.10000000000000002,1.6996749443881478e-17
6,34.88854895060592,3.8409813613618273,13.219240842842595,2.433653227115863,0.4847828597130743,0.534123383619457,0.10000000000000002,1.6996749443881478e-17,0.10000000000000002,1.6996749443881478e-17
7,21.44111717935813,4.4074447650024835,7.180803521098142,2.5801202863620243,0.10000000000000002,1.6996749443881478e-17,0.10000000000000002,1.6996749443881478e-17,0.10000000000000002,1.6996749443881478e-17
8,8.229717234722376,3.762224993634047,3.0896737779269454,1.5731652703697783,0.12457242380857092,0.042560686501559995,0.10000000000000002,1.6996749443881478e-17,0.10000000000000002,1.6996749443881478e-17
9,0.604669197810168,0.588849697308634,0.10000000000000002,1.6996749443881478e-17,0.10000000000000002,1.6996749443881478e-17,0.10000000000000002,1.6996749443881478e-17,0.10000000000000002,1.6996749443881478e-17
10,0.10000000000000002,1.6996749443881478e-17,0.10000000000000002,1.6996749443881478e-17,0.10000000000000002,1.6996749443881478e-17,0.10000000000000002,1.6996749443881478e-17,0.10000000000000002,1.6996749443881478e-17
11,0.10000000000000002,1.6996749443881478e-17,0.10000000000000002,1.6996749443881478e-17,0.10000000000000002,1.6996749443881478e-17,0.10000000000000002,1.6996749443881478e-17,0.10000000000000002,1.6996749443881478e-17
12,0.10000000000000002,1.6996749443881478e-17,0.10000000000000002,1.6996749443881478e-17,0.10000000000000002,1.6996749443881478e-17,0.10000000000000002,1.6996749443881478e-17,0.10000000000000002,1.6996749443881478e-17
