P0,replicate,half_life,half_life_se,right_censored
100,1,10.849178465465718,0.3708948537402164,False
100,2,10.632588989886992,0.39085589502729967,False
100,3,9.827784836063122,0.6624003656147005,False
99,1,5.648516257392929,0.6695338221678387,False
99,2,6.470375745145254,2.4678445520873393,False
99,3,4.9849838029978635,0.3972527780363029,False
90,1,4.689709826309604,0.6693251860419039,False
90,2,5.020719564101158,0.8598474879132538,False
90,3,4.354493557801732,0.2808247953311377,False
50,1,1.3825362618551111,0.20654926492376507,False
50,2,3.2460236253639616,0.5377802037809342,False
50,3,2.1461116474044966,0.13666937419790015,False
20,1,1.419183887675828,0.13162118239877849,False
20,2,1.916201719234152,0.2525450590542043,False
20,3,1.4999999999999993,0.24572623257610904,False
