P0,replicate,half_life,half_life_se,right_censored
100,1,25.0,,True
100,2,25.0,,True
100,3,21.372452750214798,0.2778721220116046,False
99,1,22.05406811938678,0.9787447799811303,False
99,2,25.0,,True
99,3,21.757271961182937,0.4476201425325514,False
90,1,7.405881595053659,0.5063577462298047,False
90,2,7.410424179955145,0.45900193116630933,False
90,3,5.7114177853285995,0.8990264109894757,False
50,1,6.0,2.4440625818130775,False
50,2,4.0224627540504425,1.2725741497019747,False
50,3,5.301351201253011,0.35732988698093987,False
20,1,2.212154771035422,0.7350748395746244,False
20,2,3.2870683037396153,0.06931409742590766,False
20,3,1.4686844621252586,0.11791687153133107,False
