time,mean_0,std_0,mean_1/64,std_1/64,mean_1/32,std_1/32,mean_1/16,std_1/16,mean_1/8,std_1/8,mean_1/4,std_1/4,mean_1/2,std_1/2,mean_1,std_1
0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0
1,35.746097748125734,0.31914578664064525,35.746097748125734,0.31914578664064525,35.746097748125734,0.31914578664064525,35.746097748125734,0.31914578664064525,35.746097748125734,0.31914578664064525,35.746097748125734,0.31914578664064525,35.746097748125734,0.31914578664064525,35.746097748125734,0.31914578664064525
2,21.48692854370583,0.7614075914853906,21.48692854370583,0.7614075914853906,21.48692854370583,0.7614075914853906,21.48692854370583,0.7614075914853906,21.48692854370583,0.7614075914853906,21.48692854370583,0.7614075914853906,21.48692854370583,0.7614075914853906,21.48692854370583,0.7614075914853906
3,11.512120435369289,0.3162817111003259,14.681233467433055,1.6307630602745482,25.67108142319812,1.9270427802139454,107.50957614956144,1.327154693904791,117.030177340085,1.1770832076367999,96.61265249735891,4.453567291073503,91.74384460127995,1.954877251114717,87.56744583899217,1.476039269157228
4,5.2601970827981335,0.34652301492437143,16.149535956717422,3.3772124742778153,34.28964960081498,1.6993034010267813,95.63274824427218,0.8941866895422087,93.53098766950266,3.2774906363449716,92.02418894790658,3.6949423258987117,96.50278556987189,0.6863467542093439,94.91293118977934,0.9168912079206583
5,2.4717367243980792,0.20258183920504827,7.221467535143966,1.7796366957149559,17.670067566045493,0.9304205445339573,92.48423764350098,1.842689660202812,90.85042226521165,0.701915560781612,90.54397263328701,2.5333036800041118,91.0381070004007,1.2185357866461464,88.08367157688677,0.797371166817095
6,1.25682493047767,0.10152856788706649,3.0480323530193427,0.6270703609436343,7.890702782146868,0.38518607013772316,90.96316322896364,0.6021243705271727,93.58287711189966,0.8745954410045764,93.85329236969771,5.03737334110778,91.36020261915485,6.488433269473808,92.43821961186116,1.1112597965408209
7,0.8294547887809621,0.0354135701273176,1.4275787333452887,0.13784963178206303,3.236021210757445,0.1620766628163429,85.62819485392028,0.9730642239000342,86.67569051051163,2.766857831583002,85.63359727572593,4.530024404193502,89.24011749065552,3.160253365128106,86.55143075833992,1.7872108778188696
8,0.7435222275264484,0.03676433182398707,1.073926085401608,0.05638470439248442,1.9364368523248252,0.3250064344049804,86.49653879144061,0.5961547729695578,87.99872820214405,1.4677004643636715,95.6688720163034,5.195682285984165,91.03206564511264,4.408232990985557,94.61247558739979,2.550581579549369
9,0.6960515434731803,0.019572001462088092,0.8684517269792179,0.052133847775580194,1.2800312131807805,0.16568079469605496,84.59226820619504,2.2625852051781616,83.74124220469119,3.489357449422506,92.12967814055757,6.282724392389591,93.78862630853855,4.657733222307377,88.11012781702784,1.510805067354963
