# Barcode	Count
1	1546
10	0
11	1
12	0
13	0
14	0
15	6711
16	0
17	0
18	1
19	1
2	0
20	0
21	0
22	0
23	0
24	0
25	0
26	61
27	0
28	39
29	877
3	20
30	0
31	0
32	0
33	0
34	1
35	0
36	0
37	1
38	1
39	2
4	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
49	0
5	0
50	2
51	0
52	0
53	0
54	1
55	0
56	0
57	8
58	1
59	0
6	0
60	1
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
7	2135
70	0
71	0
72	0
73	22814
74	0
75	0
76	17006
77	0
78	0
79	0
8	0
80	0
81	0
82	0
83	1
84	0
85	0
86	0
87	0
88	7
89	0
9	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
unmatched	198545
total	249783
