time,species1,species1_plasmid,species2,species2_plasmid
0.0,0.5,0.3,0.5,0.0
0.004166666666666667,0.4995601479817809,0.2993768040146471,0.5004398520182192,0.0
0.008333333333333333,0.4991402736179393,0.2987699322817346,0.5008597263820608,0.0
0.012500000000000002,0.49873992996689503,0.29817899934241654,0.501260070033105,0.0
0.016666666666666666,0.4983586334348521,0.29760358981123,0.5016413665651478,0.0
0.020833333333333332,0.49799589091479207,0.2970432863240199,0.502004109085208,0.0
0.025000000000000005,0.4976511949944674,0.29649766449948817,0.5023488050055327,0.0
0.02916666666666667,0.497324028395385,0.29596629574065536,0.502675971604615,0.0
0.03333333333333333,0.4970138632817201,0.29544874687489514,0.50298613671828,0.0
0.0375,0.49672016916531775,0.2949445854356165,0.5032798308346823,0.0
0.041666666666666664,0.49644241001857503,0.294453377592014,0.5035575899814249,0.0
0.04583333333333334,0.4961800475586174,0.29397469035914064,0.5038199524413824,0.0
0.05000000000000001,0.49593254250208635,0.29350809247471926,0.5040674574979137,0.0
0.05416666666666667,0.4956993576291644,0.293053156185764,0.5043006423708357,0.0
0.05833333333333334,0.49547995620385943,0.2926094565103852,0.5045200437961406,0.0
0.0625,0.49527380674806065,0.29217657412862463,0.5047261932519393,0.0
0.06666666666666667,0.4950803847450273,0.2917540960549618,0.5049196152549726,0.0
0.07083333333333335,0.4948991718581863,0.2913416155204256,0.5051008281418137,0.0
0.075,0.49472965598972324,0.29093873232862427,0.5052703440102767,0.0
0.07916666666666668,0.49457133474102566,0.29054505430820937,0.5054286652589745,0.0
0.08333333333333333,0.494423715125617,0.29016019763268514,0.505576284874383,0.0
0.08750000000000001,0.4942863148579071,0.28978378722752024,0.5057136851420929,0.0
0.09166666666666667,0.49415866256503727,0.2894154571305894,0.5058413374349628,0.0
0.09583333333333334,0.49404029874619654,0.28905485091680055,0.5059597012538035,0.0
0.10000000000000002,0.49393077619325265,0.2887016219189003,0.5060692238067475,0.0
0.10416666666666667,0.4938296599653076,0.28835543331607016,0.5061703400346924,0.0
0.10833333333333334,0.4937365285201844,0.28801595857795154,0.5062634714798155,0.0
0.1125,0.4936509729408635,0.28768288116747814,0.5063490270591365,0.0
0.11666666666666668,0.49357259820784477,0.28735589508770987,0.5064274017921553,0.0
0.12083333333333335,0.49350102306076493,0.28703470479668414,0.506498976939235,0.0
0.125,0.4934358791703447,0.286719024731884,0.5065641208296553,0.0
0.12916666666666668,0.49337681169895115,0.28640857963807165,0.5066231883010489,0.0
0.13333333333333333,0.49332347908004837,0.2861031044024892,0.5066765209199517,0.0
0.1375,0.49327555382856547,0.28580234415977973,0.5067244461714345,0.0
0.1416666666666667,0.4932327213903646,0.2855060539066216,0.5067672786096354,0.0
0.14583333333333334,0.4931946800953911,0.28521399837932143,0.5068053199046089,0.0
0.15,0.4931611414106184,0.2849259519725521,0.5068388585893817,0.0
0.15416666666666667,0.4931318292881995,0.28464169845375925,0.5068681707118006,0.0
0.15833333333333335,0.493106479925404,0.284361030755823,0.5068935200745961,0.0
0.1625,0.493084841725974,0.2840837508265934,0.5069151582740259,0.0
0.16666666666666666,0.493066674753408,0.2838096693144352,0.5069333252465921,0.0
0.17083333333333336,0.49305175040203564,0.28353860532187297,0.5069482495979645,0.0
0.17500000000000002,0.4930398513665016,0.2832703862842592,0.5069601486334984,0.0
0.17916666666666667,0.4930307710369664,0.2830048476026046,0.5069692289630336,0.0
0.18333333333333335,0.493024313129515,0.28274183237788236,0.5069756868704851,0.0
0.1875,0.49302029158090904,0.28248119125987153,0.506979708419091,0.0
0.19166666666666668,0.4930185299840565,0.28222278209392376,0.5069814700159435,0.0
0.19583333333333333,0.4930188612072577,0.2819664696506972,0.5069811387927424,0.0
