time,P_100%,P_99%,P_90%,P_50%,P_20%
0.0,100.0,99.0,90.0,50.0,20.0
0.004166666666666667,99.99949998231854,98.99944712082718,89.99902406324867,49.99829026297561,19.998966344574114
0.008333333333333333,99.99899985459673,98.99878425306821,89.99704967951381,49.99381415143201,19.996165507452147
0.012500000000000002,99.99849951620344,98.99801935986305,89.99415057621573,49.98678307235163,19.991735827286192
0.016666666666666666,99.99799887745881,98.99715959592614,89.99039300388067,49.977387106183876,19.98580179281472
0.020833333333333332,99.99749785756732,98.99621141577856,89.98583674759516,49.965797987075376,19.978475879323813
0.025000000000000005,99.99699638467024,98.99518065406227,89.9805358468963,49.95217102937005,19.96985992165648
0.02916666666666667,99.996494392887,98.99407261219535,89.97453942964843,49.93664761754433,19.96004656492864
0.03333333333333333,99.99599182363806,98.99289210841503,89.9678921411966,49.91935629882613,19.949120125160942
0.0375,99.99548862376409,98.99164353977591,89.96063473288704,49.90041450397045,19.937157641396638
0.041666666666666664,99.99498474512029,98.99033092776568,89.95280448148768,49.87992973919401,19.92422964741777
0.04583333333333334,99.99448014383061,98.98895796000943,89.94443557209607,49.85800063128566,19.9104008974298
0.05000000000000001,99.99397478009855,98.98752802417425,89.93555942048708,49.834717941053285,19.895730903066635
0.05416666666666667,99.99346861788487,98.98604423833443,89.92620493547034,49.81016517521428,19.880274506469693
0.05833333333333334,99.99296162412955,98.98450948016875,89.91639880543107,49.7844194914298,19.864082342340737
0.0625,99.99245376860594,98.98292640963079,89.90616570300361,49.75755224104473,19.847201235639716
0.06666666666666667,99.99194502370725,98.98129748948767,89.89552847310523,49.72962952949857,19.829674553946695
0.07083333333333335,99.99143536415983,98.97962500396407,89.88450830625032,49.70071269100564,19.8115425291472
0.075,99.99092476679722,98.97791107508998,89.8731248898897,49.670858727774316,19.792842538782438
0.07916666666666668,99.99041321027808,98.97615767750506,89.86139654557823,49.64012069019479,19.77360935951273
0.08333333333333333,99.98990067523597,98.97436665027386,89.84934033911527,49.60854803005149,19.75387536691916
0.08750000000000001,99.98938714365397,98.97253971003236,89.83697219748007,49.57618686327983,19.733670778496013
0.09166666666666667,99.98887259914578,98.9706784600054,89.82430699971968,49.543080303588525,19.71302379467912
0.09583333333333334,99.98835702642289,98.96878440046363,89.81135866801955,49.50926866345861,19.691960785437537
0.10000000000000002,99.98784041160593,98.96685893586802,89.79814023619133,49.474789711437126,19.670506421872467
0.10416666666666667,99.98732274173597,98.96490338346574,89.78466392987481,49.4396788359677,19.64868381208065
0.10833333333333334,99.98680400498078,98.96291897928093,89.77094121905853,49.403969261370776,19.6265146234686
0.1125,99.986284190364,98.9609068847898,89.756982884569,49.36769217962059,19.604019183688905
0.11666666666666668,99.98576328776922,98.95886819225007,89.74279906230561,49.33087692895947,19.581216587798217
0.12083333333333335,99.98524128787739,98.9568039298269,89.72839929546413,49.29355110384664,19.558124779067008
0.125,99.9847181820342,98.95471506629102,89.71379257434313,49.255740700530794,19.534760638107727
0.12916666666666668,99.98419396227729,98.95260251511229,89.69898737686401,49.21747021138746,19.511140054659727
0.13333333333333333,99.98366862113717,98.95046713849237,89.68399170532004,49.178762744066354,19.487277993486817
0.1375,99.98314215197836,98.94830975042088,89.66881311425155,49.139640105588384,19.463188554373268
0.1416666666666667,99.98261454841064,98.94613112053646,89.65345874407507,49.10012289739914,19.438885045663586
0.14583333333333334,99.98208580460835,98.94393197671506,89.6379353517742,49.06023057396281,19.41438001721159
0.15,99.981555915186,98.94171300782577,89.62224932864137,49.019981550565795,19.389685324659713
0.15416666666666667,99.98102487507805,98.93947486633549,89.60640673096667,48.979393247985485,19.36481216320839
0.15833333333333335,99.98049267973569,98.9372181704468,89.59041329504487,48.93848215652241,19.33977111665207
0.1625,99.97995932476339,98.93494350642574,89.57427446178772,48.89726390557891,19.31457219244117
0.16666666666666666,99.9794248062459,98.93265143040206,89.55799539237788,48.85575329992549,19.28922485736659
0.17083333333333336,99.9788891204243,98.9303424702968,89.5415809858603,48.81396438504715,19.263738072826154
0.17500000000000002,99.97835226388733,98.92801712746146,89.52503589562218,48.771910483544104,19.238120322043518
0.17916666666666667,99.97781423343007,98.9256758782514,89.50836454237549,48.729604239776315,19.212379642080123
0.18333333333333335,99.97727502606482,98.92331917547556,89.4915711293941,48.687057663504035,19.186523647140742
0.1875,99.97673463905305,98.92094744975898,89.4746596535526,48.6442821605484,19.16055955572609
0.19166666666666668,99.97619306977546,98.91856111077237,89.45763391814367,48.60128857248774,19.134494212042195
0.19583333333333333,99.97565031584739,98.91616054843934,89.4404975431635,48.55808720544956,19.108334108505552
0.20000000000000004,99.97510637493193,98.91374613394837,89.42325397576349,48.51468786108513,19.082085404874338
0.2041666666666667,99.97456124497056,98.91131822088903,89.4059064995848,48.47109986542918,19.055753946126732
0.20833333333333334,99.97401492414058,98.90887714623523,89.38845824325156,48.427332093426685,19.02934528258365
0.21250000000000002,99.97346741044474,98.90642323096216,89.37091218944104,48.38339299494343,19.0028646850757
