P0_fit,half_life_fit,P0_sim,half_life_sim
1.0,1.5178965421168096,100.0,12.610860860860862
1.3311036789297659,1.5215481916438014,99.0,9.36806806806807
1.6622073578595318,1.5252181699427787,90.0,5.164447781114448
1.9933110367892977,1.5289066206260575,50.0,2.5221721721721724
2.3244147157190636,1.5326136888616546,20.0,1.9216549883216552
2.6555183946488294,1.536339521395034,,
2.9866220735785953,1.5400842665712338,,
3.317725752508361,1.5438480743573735,,
3.648829431438127,1.5476310963655524,,
3.979933110367893,1.5514334858761478,,
4.311036789297659,1.5552553978615162,,
4.642140468227424,1.5590969890101172,,
4.973244147157191,1.5629584177510574,,
5.304347826086957,1.5668398442790636,,
5.635451505016722,1.5707414305799101,,
5.966555183946488,1.5746633404562853,,
6.297658862876254,1.5786057395541275,,
6.6287625418060205,1.582568795389429,,
6.959866220735786,1.5865526773755219,,
7.290969899665551,1.590557556850856,,
7.622073578595318,1.5945836071072794,,
7.953177257525084,1.5986310034188298,,
8.284280936454849,1.602699923071053,,
8.615384615384615,1.6067905453908553,,
8.946488294314381,1.6109030517769038,,
9.277591973244148,1.6150376257305858,,
9.608695652173914,1.61919445288754,,
9.939799331103679,1.6233737210497734,,
10.270903010033445,1.6275756202183704,,
10.602006688963211,1.6318003426268213,,
10.933110367892976,1.6360480827749626,,
11.264214046822742,1.6403190374635697,,
11.595317725752508,1.644613405829591,,
11.926421404682275,1.648931389382052,,
12.257525083612041,1.6532731920386463,,
12.588628762541806,1.6576390201630178,,
12.919732441471572,1.6620290826027604,,
13.250836120401338,1.6664435907281483,,
13.581939799331103,1.6708827584716106,,
13.91304347826087,1.6753468023679725,,
14.244147157190636,1.679835941595476,,
14.575250836120402,1.6843503980176013,,
14.906354515050168,1.6888903962257116,,
15.237458193979933,1.693456163582525,,
15.568561872909699,1.698047930266456,,
15.899665551839465,1.7026659293168271,,
16.23076923076923,1.7073103966799812,,
16.561872909698998,1.7119815712563144,,
16.892976588628763,1.716679694948251,,
17.224080267558527,1.7214050127091802,,
17.555183946488295,1.7261577725933879,,
17.88628762541806,1.7309382258069899,,
18.217391304347828,1.7357466267599093,,
18.548494983277592,1.740583233118913,,
18.879598662207357,1.745448305861735,,
19.210702341137125,1.7503421093323142,,
19.54180602006689,1.7552649112971739,,
19.872909698996654,1.7602169830029715,,
20.204013377926422,1.7651985992352472,,
20.535117056856187,1.770210038378401,,
20.86622073578595,1.7752515824769306,,
21.19732441471572,1.780323517297958,,
21.528428093645484,1.785426132395086,,
21.859531772575252,1.7905597211736048,,
22.190635451505017,1.7957245809570956,,
22.52173913043478,1.800921013055463,,
22.85284280936455,1.806149322834428,,
23.183946488294314,1.8114098197865274,,
23.515050167224082,1.8167028176036504,,
23.846153846153847,1.8220286342511627,,
24.17725752508361,1.827387592043646,,
24.50836120401338,1.8327800177223081,,
24.839464882943144,1.8382062425341028,,
25.17056856187291,1.843666602312599,,
25.501672240802677,1.8491614375606573,,
25.83277591973244,1.8546910935349532,,
26.163879598662206,1.8602559203323965,,
26.494983277591974,1.8658562729785069,,
26.82608695652174,1.8714925115177887,,
27.157190635451506,1.8771650011061634,,
27.48829431438127,1.8828741121055148,,
27.819397993311036,1.8886202201804092,,
28.150501672240804,1.8944037063970454,,
28.48160535117057,1.9002249573244943,,
28.812709030100336,1.9060843651383022,,
29.1438127090301,1.9119823277265124,,
29.474916387959865,1.9179192487981782,,
29.806020066889634,1.9238955379944396,,
30.137123745819398,1.9299116110022287,,
30.468227424749163,1.9359678896706927,,
30.79933110367893,1.94206480213039,,
31.130434782608695,1.9482027829153656,,
31.46153846153846,1.9543822730881673,,
31.792642140468228,1.9606037203678992,,
32.123745819397996,1.9668675792613983,,
32.45484949832776,1.973174311197623,,
32.785953177257525,1.9795243846653559,,
33.11705685618729,1.9859182753543074,,
33.448160535117054,1.992356466299732,,
33.779264214046826,1.998839448030653,,
34.11036789297659,2.0053677187218155,,
34.441471571906355,2.0119417843494647,,
34.77257525083612,2.018562158851081,,
35.103678929765884,2.0252293642891797,,
35.434782608695656,2.0319439310193097,,
35.76588628762542,2.0387063978623745,,
36.096989966555185,2.0455173122814085,,
36.42809364548495,2.0523772305629535,,
36.759197324414714,2.0592867180031726,,
37.09030100334448,2.0662463490988534,,
37.42140468227425,2.0732567077434534,,
37.752508361204015,2.0803183874283486,,
38.08361204013378,2.0874319914494555,,
38.414715719063544,2.094598133119385,,
38.74581939799331,2.101817435985329,,
39.07692307692308,2.1090905340528416,,
39.408026755852845,2.116418072015722,,
39.73913043478261,2.1238007054922012,,
40.070234113712374,2.131239101267622,,
40.40133779264214,2.1387339375438548,,
40.7324414715719,2.146285904195643,,
41.063545150501675,2.1538957030341397,,
41.39464882943144,2.161564048077854,,
41.725752508361204,2.1692916658312735,,
42.05685618729097,2.177079295571417,,
42.38795986622073,2.1849276896425884,,
42.719063545150505,2.1928376137596253,,
43.05016722408027,2.200809847319916,,
43.381270903010034,2.208845183724513,,
43.7123745819398,2.2169444307086494,,
44.04347826086956,2.2251084106819863,,
44.374581939799334,2.2333379610789517,,
44.7056856187291,2.241633934719509,,
45.03678929765886,2.249997200180761,,
45.36789297658863,2.25842864217973,,
45.69899665551839,2.2669291619677914,,
46.030100334448164,2.2754996777371086,,
46.36120401337793,2.284141125039571,,
46.69230769230769,2.2928544572186715,,
47.02341137123746,2.3016406458547976,,
47.35451505016722,2.3105006812244633,,
47.68561872909699,2.3194355727739824,,
48.01672240802676,2.3284463496081464,,
48.34782608695652,2.3375340609944724,,
48.67892976588629,2.346699776883621,,
49.01003344481605,2.3559445884466106,,
49.34113712374582,2.3652696086294775,,
49.67224080267559,2.3746759727260693,,
50.00334448160535,2.3841648389696797,,
50.33444816053512,2.3937373891442832,,
50.66555183946488,2.4033948292161385,,
50.99665551839465,2.4131383899865884,,
51.32775919732441,2.4229693277669124,,
51.65886287625418,2.432888925076132,,
51.98996655518395,2.442898491362696,,
52.32107023411371,2.4529993637510596,,
52.65217391304348,2.4631929078141637,,
52.98327759197324,2.473480518372916,,
53.31438127090301,2.483863620323809,,
53.64548494983278,2.4943436694958616,,
53.97658862876254,2.504922153538154,,
54.30769230769231,2.5156005928392555,,
54.63879598662207,2.526380541479946,,
54.96989966555184,2.5372635882206653,,
55.30100334448161,2.5482513575252415,,
55.63210702341137,2.5593455106224896,,
55.96321070234114,2.570547746607382,,
56.2943143812709,2.5818598035835594,,
56.62541806020067,2.593283459849077,,
56.95652173913044,2.604820535127336,,
57.2876254180602,2.6164728918452984,,
57.618729096989966,2.628242436461176,,
57.94983277591973,2.6401311208438933,,
58.280936454849495,2.6521409437067858,,
58.61204013377927,2.6642739520980827,,
58.94314381270903,2.6765322429509153,,
59.274247491638796,2.68891796469571,,
59.60535117056856,2.7014333189380015,,
59.936454849498325,2.7140805622048787,,
60.2675585284281,2.7268620077634487,,
60.59866220735786,2.739780027514915,,
60.929765886287626,2.7528370539680735,,
61.26086956521739,2.766035582296234,,
61.591973244147155,2.7793781724818576,,
61.92307692307692,2.7928674515534095,,
62.25418060200669,2.8065061159192384,,
62.585284280936456,2.820296933803557,,
62.91638795986622,2.8342427477899417,,
