genus,mean_D0,se_D0,mean_D1,se_D1,mean_Day2_LB,se_Day2_LB,mean_Day2_Ab,se_Day2_Ab
Escherichia-Shigella,0.3826685909210173,,0.2130730443555542,0.03449921888582211,0.07799624539977369,0.01609120901972115,0.6075240634305324,0.057851170915250744
Pseudomonas,0.0172526895827866,,0.2052213085350553,0.031181388253657117,0.225665300593949,0.032021200397690006,0.36895111161726635,0.060628786773795386
Bacillus,0.22358960902650224,,0.01823983924944522,0.018239839249445215,0.0,0.0,0.0,0.0
Citrobacter,0.124088165835738,,0.031215208450010735,0.0035996666700774524,0.020586576852148902,0.010710810315656287,0.018631566060435766,0.0020019721670439714
Enterobacter,0.252400944633953,,0.5321915740915497,0.025482766278562115,0.6743128532057668,0.041203176208419255,0.0,0.0
Other,1.110223024625157e-16,,5.9025318383865175e-05,4.049822779631309e-05,0.001439023948360781,0.001439023948360781,0.00489325889176473,0.004266622517002062
