genus,mean_D0,se_D0,mean_D1,se_D1,mean_Day2_LB,se_Day2_LB,mean_Day2_Ab,se_Day2_Ab
Escherichia-Shigella,0.39450206312032937,,0.23567450681288984,0.08745790035520341,0.07375437294281381,0.010881167682977835,0.6109647002050612,0.04214795123571118
Pseudomonas,0.0178850228616036,,0.13910459014088358,0.05982052014883205,0.18444260639769336,0.02438716039957234,0.388825345839521,0.04214167809493726
Bacillus,0.2283093565294968,,0.12796220375523082,0.08969715501959552,0.034887460478559,0.03488746047855899,0.0,0.0
Citrobacter,0.109080517452882,,0.043704613311731304,0.017228701803757216,0.010604551235315068,0.005482082506501269,0.0,0.0
Enterobacter,0.2502230400356854,,0.45302030658314757,0.14943883485558573,0.6947611384945717,0.0720050567208071,0.0,0.0
Other,1.110223024625157e-16,,0.0005337793961152454,0.0005337793961153009,0.0015498704510460426,0.001549870451045987,0.00020995395541663817,6.311467455190392e-06
