genus,mean_D0,se_D0,mean_D1,se_D1,mean_Day2_LB,se_Day2_LB,mean_Day2_Ab,se_Day2_Ab
Escherichia-Shigella,0.3934647975495777,,0.2598227913398279,0.0423475841557646,0.060496846474729284,0.009075772965923379,0.7510885091990347,0.18423972718475146
Pseudomonas,0.0180204350839537,,0.23094429236054068,0.029185841116875347,0.25751173214319134,0.050348924349783324,0.24889804939875768,0.18424880577966002
Bacillus,0.2216670020345648,,0.1337405397354021,0.11465552281801912,0.027668410549592765,0.027668410549592765,0.0,0.0
Citrobacter,0.112951908243342,,0.10476312745349566,0.008253901201682776,0.04898208960628323,0.017784660688365952,0.0,0.0
Enterobacter,0.2538958570885589,,0.26886627626605664,0.07908589265792469,0.6053409212262023,0.07543964540105697,0.0,0.0
Other,0.0,,0.0018629728446748113,0.0018561278357745188,0.0,0.0,1.3441402207085377e-05,1.3441402207085378e-05
