time,mean_noAb_rep1,se_noAb_rep1,mean_noAb_rep2,se_noAb_rep2,mean_noAb_rep3,se_noAb_rep3,mean_Ab_rep1,se_Ab_rep1,mean_Ab_rep2,se_Ab_rep2,mean_Ab_rep3,se_Ab_rep3
0,6786.066652754672,0.0,6786.066652754672,0.0,6786.066652754672,0.0,6786.066652754672,0.0,6786.066652754672,0.0,6786.066652754672,0.0
1,995.8555032769982,2.6032215045683813,4147.97189184482,4.867064602494506,1149.0006342767956,2.14104717884228,995.8555032769982,2.6032215045683813,4147.97189184482,4.867064602494506,1149.0006342767956,2.14104717884228
2,469.72327898071427,7.403411865163189,372.5403424181683,7.998779051038318,461.27438635395765,7.77598369959698,8002.273847209611,23.86656662364674,6579.347227636089,14.922176612447304,9960.003603446305,14.57510356749864
3,127.79759863608608,6.4874632165427695,578.1067866423713,8.325308133265288,35.59527467176025,7.573487645387406,8061.548569777695,9.417046526924238,5804.970715836173,8.580658783754634,2792.826664541273,7.654223944048219
4,0.1,2.5938767514008947,479.0731551970913,3.7232521027326597,0.1,2.2994956709729997,3462.0774434741606,5.499363379763442,9732.441165156626,19.03570388613714,9921.884333433803,20.64850629414099
5,23.138104984738675,3.8261176432426818,37.202380938357045,3.9371649554968338,26.54752662734109,3.42626690770637,10035.259467066917,4.3481962196063595,3816.96742995974,4.231502464457286,8860.214843655178,5.562302717340586
6,44.52734605261569,4.3390743725559675,47.69902852182023,4.844547707801549,44.7497815553623,4.545007218005662,2900.2156451070373,4.219043563011084,7044.80865035335,3.7973357965170886,4685.956416573175,4.665266501720528
7,25.842697585438835,8.102464694977762,23.33094019536886,6.470904933641692,51.47791371014674,5.987597636828801,4135.67070579842,6.811438148222316,8252.04173711451,15.028352735733538,2846.0244184709236,5.129614279367804
8,42.07707895564058,1.9126622233055046,40.2608912721348,1.610487860177509,25.55516394486246,1.7624481198871447,537.6078848639103,1.2401529174434605,2918.7420432878725,1.7216828853402417,2535.554282877268,1.4764760821480678
9,37.684362753290635,1.3009086016714444,50.38117215361251,1.3284594402878118,37.09650491321757,1.108553966396307,2267.1292996511206,5.223902195617836,10145.737718090633,37.54408439216819,1646.0951018844842,2.537429618087551
10,44.87658833787506,2.591090176509222,97.09406921055643,2.3860160688188037,91.93054311621474,2.5280039990515215,7543.4921134456845,5.60433969410059,2749.0257905288113,2.4983177628747364,1663.3699616063232,2.2937912227315644
