time,mean_noAb_rep1,se_noAb_rep1,mean_noAb_rep2,se_noAb_rep2,mean_noAb_rep3,se_noAb_rep3,mean_Ab_rep1,se_Ab_rep1,mean_Ab_rep2,se_Ab_rep2,mean_Ab_rep3,se_Ab_rep3
0,968.5864034167154,0.0,968.5864034167154,0.0,968.5864034167154,0.0,968.5864034167154,0.0,968.5864034167154,0.0,968.5864034167154,0.0
1,296.9148640177897,2.341021076654043,252.06922040544399,1.8936220285227297,207.18401700365553,2.462908080450277,296.9148640177897,2.341021076654043,252.06922040544399,1.8936220285227297,207.18401700365553,2.462908080450277
2,62.266502798311755,8.16459976432108,205.93173768601795,8.079044734921172,163.70439233320636,6.750100777745499,630.9147976101702,7.920608384630906,1054.7350330229026,12.868700552700334,1512.0181873795814,10.213633067901862
3,35.16062080032049,7.991075867837196,302.099843057017,9.907262949987944,163.56940523966713,8.564438919283758,1168.529274588329,8.972230326025946,1075.9832858029115,10.749176429393305,1270.022048705904,7.14875041324628
4,5.30691651622724,3.0639610408963893,105.08406240949617,3.4719119785214043,103.2462063441106,3.226639485947678,689.6176307675564,4.0032876578730265,1041.3842980259449,4.094358831402993,306.77460550588444,2.9882944790813593
5,23.405972346265397,4.270800008094848,42.55040395462523,3.4639722266148207,71.5766937676198,3.539819969513556,877.575760349645,3.2228097065757155,702.9416868077004,4.790005980647688,749.3872329927075,3.254026640504343
6,33.73003101879564,4.5892607388612525,47.55141153029009,4.453226015633351,66.79389500261894,4.914882175092161,573.6257294008886,4.108239763807905,904.8790908704,5.221784488393793,964.8004993202588,4.836529389843489
7,16.5933794528173,5.98285909053577,36.45643623459421,5.257953702534703,38.69152171620598,6.341281877521933,334.8073163703838,6.521361146354728,280.31594337257445,5.592205049496829,811.4167335199988,6.294758518523792
8,39.808917402427056,1.5924071667483743,27.434042288582432,1.1674236277147396,29.82444257941725,1.3556805985422002,373.58065184520353,1.7383851174972664,293.57685640894834,1.2279018390639675,305.2512235228162,1.5139582650527261
9,52.73206638262045,1.8223119340136635,36.55846373538679,1.2619586097595041,60.11231441027811,1.586383878641541,723.9745057545372,2.2064843934942817,458.56310576438835,1.7425654726797075,1415.6955277433037,3.707787673610908
10,73.8381364036234,2.5080391434819864,91.14343686513779,3.1898996007099254,56.5539791758233,2.17694931971768,478.3599337327889,2.4809053728274426,1143.5320674994698,2.2876147810257224,589.5281493653368,2.259895906830093
