time,mean_noAb_rep1,se_noAb_rep1,mean_noAb_rep2,se_noAb_rep2,mean_noAb_rep3,se_noAb_rep3,mean_Ab_rep1,se_Ab_rep1,mean_Ab_rep2,se_Ab_rep2,mean_Ab_rep3,se_Ab_rep3
0,1177.892896271732,0.0,1177.892896271732,0.0,1177.892896271732,0.0,1177.892896271732,0.0,1177.892896271732,0.0,1177.892896271732,0.0
1,193.18286923409266,1.8647922307619198,185.08631886341658,1.7860661416564103,192.52628071287526,1.4263773868703462,193.18286923409266,1.8647922307619198,185.08631886341658,1.7860661416564103,192.52628071287526,1.4263773868703462
2,69.17668496154019,8.17867092637264,51.55054193745031,5.808758757460699,93.20059587286583,7.638894787642514,1325.977149500459,14.05781856852456,1595.1146684981893,14.15510581554663,1982.2064618250997,14.017306851733638
3,23.529412370637903,8.113602151865393,23.807343527839304,9.156684081561556,39.778079581878444,10.467958744623632,726.1794357718262,9.26336833637389,1115.822997163818,13.294884977684466,2288.535813949025,10.879410963626757
4,0.1,2.1924953352859706,0.1,2.380073299232679,0.1,3.3070753463966263,590.8711953628878,3.7722397711298834,1229.0941114741945,4.597121687453649,2587.750439750479,8.183241815232735
5,22.030164390823785,4.483578320982426,29.767943723213744,3.579955672207511,2.9399658900794456,3.1113676161488986,302.6926534099306,4.916080083220112,1342.884457664098,5.11222117982365,1545.144955957312,6.30750677261122
6,38.088085062871464,3.8684118395817677,36.1674735769178,4.420465969327919,37.03214066440749,4.768619729798822,167.84646033717897,5.262483276398429,600.1880464373397,5.215201410993531,1272.2277051587375,5.506823039924738
7,11.749625723137395,7.7025433152543705,29.387455736603897,6.622481441951997,30.053781473397134,5.703278666710647,37.581960913411564,5.766267827797086,162.68428908879298,9.169672572473011,525.7312191145104,13.418303767092734
8,43.86327770022638,1.6552817197181442,39.55749242010823,1.3409739128860678,39.94863865735663,1.4267826341362588,48.63813331236442,1.9456173827742653,38.24563451245786,1.2337662385035015,223.4927180160746,2.08107794319276
9,36.09434509039483,1.2459048251774776,57.19446163822992,1.5089774517301064,51.72188189564543,1.3121616173289095,138.54398683563866,2.6531325290796786,99.30838941497892,1.7870403895663403,183.13101341651426,2.1473185689139873
10,50.806124747820846,2.3467959053004637,30.859662234194342,2.545326678886975,59.00067678664574,2.1292011620635583,70.56517278846408,2.263679494664225,47.22969772220327,1.7593355258188306,158.11319109265006,2.2836882556019567
