condition,tau_rep1,se_rep1,tau_rep2,se_rep2,tau_rep3,se_rep3
LB,4.43487508981963,1.0167601221403528,4.416770150210416,0.3452601488656202,4.22744494793509,0.7802943917726886
LB+Ab,17.0,,17.0,,17.0,
invasion,5.785077960154675,1.169707256151021,8.801707212970355,0.1867051259371746,6.889579162467442,0.19978532528189813
