# Barcode	Count
1	1212
10	0
11	133
12	84
13	346
14	173
15	6030
16	253
17	154
18	604
19	189
2	155
20	8
21	162
22	2
23	17
24	47
25	3
26	793
27	20
28	275
29	1646
3	296
30	202
31	163
32	0
33	12
34	11
35	50
36	89
37	77
38	237
39	582
4	274
40	98
41	1
42	0
43	2
44	47
45	1
46	129
47	126
49	11
5	1
50	1166
51	225
52	8
53	99
54	255
55	4
56	623
57	514
58	177
59	4
6	183
60	284
61	249
62	0
63	7
64	13
65	167
66	1
67	16
68	157
7	283
70	203
71	4
72	20
73	228
74	0
75	227
76	284
77	173
78	134
79	151
8	144
80	65
81	45
82	146
83	202
84	9
85	221
86	0
87	175
88	414
89	38
9	117
90	4
91	88
92	0
93	0
94	0
95	141
96	212
unmatched	460
total	23055
