# Barcode	Count
1	20013
10	1
11	3
12	1
13	2
14	8
15	1203
16	10
17	11
18	9
19	9
2	6
20	1
21	16
22	2
23	4
24	1
25	4
26	43
27	2
28	3
29	138
3	10
30	10
31	11
32	0
33	1
34	4
35	11
36	9
37	0
38	13
39	22
4	11
40	3
41	1
42	0
43	0
44	4
45	1
46	13
47	8
49	1
5	1
50	32
51	5
52	0
53	6
54	13
55	0
56	25
57	14
58	5
59	0
6	10
60	7
61	9
62	0
63	3
64	0
65	6
66	1
67	1
68	7
7	7
70	4
71	1
72	3
73	11
74	0
75	9
76	59
77	9
78	5
79	3
8	43
80	8
81	7
82	6
83	12
84	4
85	13
86	0
87	7
88	9
89	1
9	11
90	2
91	6
92	0
93	0
94	0
95	7
96	10
unmatched	190
total	22215
