# Barcode	Count
1	61
10	0
11	61
12	8
13	34
14	0
15	14609
16	158
17	7
18	261
19	94
2	1
20	0
21	42
22	0
23	2
24	0
25	0
26	325
27	1
28	115
29	712
3	126
30	122
31	93
32	0
33	1
34	0
35	16
36	6
37	0
38	37
39	246
4	14
40	6
41	0
42	0
43	0
44	24
45	0
46	22
47	23
49	0
5	0
50	354
51	32
52	0
53	15
54	135
55	0
56	84
57	230
58	77
59	0
6	90
60	92
61	130
62	0
63	0
64	5
65	23
66	0
67	0
68	71
7	278
70	65
71	0
72	0
73	49
74	0
75	47
76	731
77	197
78	64
79	130
8	17
80	5
81	17
82	73
83	125
84	0
85	68
86	0
87	38
88	560
89	1
9	15
90	0
91	21
92	0
93	0
94	0
95	31
96	122
unmatched	232
total	21451
