# Barcode	Count
1	2380
10	2
11	109
12	65
13	436
14	162
15	6810
16	177
17	154
18	393
19	165
2	98
20	16
21	160
22	5
23	22
24	20
25	7
26	636
27	3
28	237
29	1408
3	243
30	151
31	111
32	2
33	27
34	7
35	39
36	58
37	40
38	205
39	368
4	195
40	85
41	2
42	0
43	5
44	63
45	4
46	105
47	73
49	14
5	2
50	794
51	153
52	16
53	74
54	160
55	1
56	454
57	343
58	123
59	3
6	129
60	222
61	237
62	0
63	8
64	11
65	123
66	1
67	9
68	82
7	215
70	181
71	10
72	39
73	150
74	0
75	166
76	286
77	130
78	93
79	78
8	117
80	75
81	44
82	129
83	168
84	4
85	188
86	0
87	119
88	373
89	38
9	151
90	2
91	88
92	0
93	0
94	0
95	103
96	179
unmatched	314
total	21647
