# Barcode	Count
1	2641
10	0
11	136
12	90
13	526
14	156
15	7549
16	227
17	139
18	506
19	248
2	166
20	8
21	205
22	7
23	19
24	33
25	4
26	771
27	21
28	287
29	2512
3	257
30	221
31	131
32	0
33	15
34	5
35	41
36	90
37	46
38	197
39	480
4	245
40	93
41	3
42	0
43	1
44	46
45	3
46	139
47	130
49	12
5	6
50	1094
51	220
52	9
53	104
54	252
55	1
56	592
57	475
58	188
59	0
6	184
60	259
61	251
62	0
63	2
64	10
65	172
66	1
67	14
68	158
7	272
70	249
71	16
72	22
73	241
74	0
75	180
76	366
77	146
78	139
79	161
8	98
80	88
81	50
82	138
83	206
84	4
85	235
86	0
87	179
88	486
89	42
9	175
90	2
91	103
92	0
93	0
94	0
95	135
96	220
unmatched	521
total	26872
