# Barcode	Count
1	14668
10	0
11	138
12	57
13	255
14	95
15	16947
16	268
17	81
18	499
19	260
2	81
20	5
21	184
22	1
23	12
24	12
25	0
26	724
27	16
28	276
29	4436
3	237
30	251
31	150
32	0
33	9
34	10
35	50
36	51
37	32
38	177
39	467
4	121
40	56
41	2
42	0
43	0
44	41
45	3
46	79
47	66
49	7
5	3
50	898
51	148
52	5
53	75
54	267
55	3
56	410
57	487
58	195
59	2
6	151
60	232
61	325
62	0
63	3
64	16
65	142
66	1
67	13
68	129
7	415
70	226
71	3
72	18
73	167
74	0
75	149
76	2307
77	265
78	122
79	184
8	111
80	58
81	52
82	131
83	240
84	3
85	235
86	0
87	116
88	572
89	27
9	96
90	3
91	64
92	0
93	0
94	0
95	108
96	313
unmatched	163361
total	213675
