# Barcode	Count
1	4750
10	10
11	168
12	101
13	325
14	267
15	667
16	246
17	132
18	274
19	156
2	332
20	29
21	166
22	134
23	62
24	43
25	130
26	361
27	65
28	249
29	309
3	363
30	260
31	205
32	4
33	103
34	144
35	70
36	175
37	173
38	352
39	260
4	414
40	164
41	16
42	0
43	44
44	67
45	106
46	253
47	142
49	50
5	44
50	600
51	351
52	161
53	191
54	301
55	96
56	288
57	231
58	240
59	112
6	245
60	167
61	220
62	0
63	101
64	20
65	269
66	24
67	159
68	226
7	326
70	183
71	142
72	189
73	149
74	0
75	316
76	194
77	356
78	182
79	168
8	62
80	207
81	70
82	213
83	227
84	97
85	203
86	0
87	223
88	244
89	138
9	221
90	116
91	70
92	0
93	0
94	0
95	217
96	208
unmatched	526
total	21634
