# Barcode	Count
1	4104
10	11
11	184
12	109
13	378
14	229
15	642
16	291
17	123
18	310
19	165
2	347
20	46
21	144
22	84
23	49
24	38
25	114
26	432
27	41
28	252
29	272
3	430
30	302
31	198
32	4
33	90
34	137
35	73
36	166
37	144
38	431
39	313
4	409
40	162
41	20
42	0
43	27
44	67
45	74
46	290
47	141
49	37
5	27
50	724
51	352
52	154
53	230
54	316
55	80
56	386
57	283
58	265
59	92
6	274
60	207
61	218
62	0
63	86
64	24
65	328
66	22
67	129
68	240
7	356
70	183
71	110
72	193
73	180
74	0
75	316
76	234
77	437
78	223
79	225
8	88
80	171
81	75
82	253
83	164
84	91
85	199
86	0
87	268
88	288
89	181
9	173
90	96
91	71
92	0
93	0
94	0
95	232
96	174
unmatched	856
total	22154
