# Barcode	Count
1	4131
10	14
11	191
12	83
13	250
14	227
15	662
16	272
17	145
18	267
19	155
2	300
20	50
21	148
22	108
23	59
24	31
25	101
26	305
27	52
28	191
29	239
3	348
30	230
31	145
32	2
33	101
34	154
35	88
36	183
37	107
38	405
39	259
4	400
40	171
41	24
42	0
43	50
44	87
45	93
46	269
47	148
49	63
5	55
50	610
51	296
52	165
53	169
54	265
55	94
56	350
57	259
58	236
59	119
6	224
60	169
61	201
62	0
63	89
64	19
65	246
66	24
67	146
68	209
7	281
70	168
71	136
72	132
73	170
74	0
75	316
76	170
77	337
78	188
79	150
8	105
80	185
81	102
82	171
83	176
84	142
85	252
86	0
87	259
88	201
89	112
9	239
90	94
91	83
92	0
93	0
94	0
95	195
96	192
unmatched	479
total	20288
