# Barcode	Count
1	0
10	0
11	44
12	0
13	1
14	0
15	440
16	3
17	0
18	3
19	3
2	0
20	0
21	0
22	0
23	0
24	0
25	0
26	7
27	0
28	0
29	2
3	4
30	5
31	2
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	1
4	0
40	0
41	0
42	0
43	0
44	0
45	0
46	4
47	1
49	123
5	0
50	4
51	0
52	0
53	1
54	154
55	0
56	0
57	21
58	2
59	0
6	4
60	1
61	3
62	0
63	0
64	0
65	0
66	0
67	0
68	0
7	22754
70	1
71	0
72	0
73	1182
74	0
75	3
76	131
77	16
78	5
79	3
8	0
80	1
81	0
82	7
83	6
84	0
85	2
86	0
87	0
88	23
89	0
9	0
90	0
91	0
92	0
93	0
94	0
95	0
96	5
unmatched	238
total	25210
