# Barcode	Count
1	1928
10	0
11	21
12	2
13	0
14	0
15	13450
16	27
17	0
18	28
19	34
2	0
20	0
21	10
22	0
23	0
24	0
25	0
26	167
27	0
28	835
29	2942
3	1886
30	86
31	17
32	0
33	0
34	0
35	1
36	0
37	1
38	1
39	38
4	14
40	0
41	0
42	0
43	0
44	1
45	0
46	48
47	1
49	38
5	0
50	35
51	2
52	0
53	3
54	72
55	0
56	12
57	45
58	8
59	0
6	12
60	12
61	28
62	0
63	0
64	1
65	2
66	0
67	0
68	21
7	7745
70	14
71	0
72	0
73	2173
74	0
75	8
76	15093
77	33
78	5
79	80
8	0
80	1
81	2
82	3
83	11
84	0
85	18
86	0
87	2
88	85
89	0
9	0
90	0
91	5
92	0
93	0
94	0
95	14
96	27
unmatched	168095
total	215243
