comparison,n_per_group,mean_no_pulse,sd_no_pulse,mean_Ab,sd_Ab,mean_diff,diff_CI_low,diff_CI_high,cohens_d,d_CI_low,d_CI_high,t,df,p,sig
R388 in Comm87,3,-0.1202801849952177,0.02140082262886339,0.658395516425046,0.03725608043042832,0.7786757014202637,0.7023297795411673,0.85502162329936,25.63034836358327,7.797470494527488,43.46322623263905,31.390637710278416,3.1902645885805367,4.3971637544992944e-05,***
R6K in Comm57,3,0.035560208515210044,0.0020415161851716577,0.8644249595472767,0.05326575957153666,0.8288647510320667,0.6968191353124273,0.960910366751706,21.99033260344957,6.6680073537614355,37.31265785313771,26.932547076270108,2.005875819687165,0.0013545912627500084,**
pCU1 in Comm57,3,-0.09061353811477701,0.013176936323155586,0.44335916293322875,0.0334684072205302,0.5339727010480058,0.46184575696245356,0.606099645133558,20.994531945065372,6.358309785460014,35.63075410467073,25.7129453269857,2.605489986571401,0.0003304714393493921,***
R388 in Comm57,3,-0.10684409361950477,0.015104800414315545,0.5338630676950028,0.013352929910838997,0.6407071613145076,0.6081972069477877,0.6732171156812274,44.94360959788231,13.758188112112773,76.12903108365184,55.04445535683216,3.9407138950566325,7.758772330562921e-07,***
RP4 in Comm57,3,-0.20089642974736732,0.07194016563275511,-0.489447201242934,0.053801114528618105,-0.2885507714955667,-0.437203169791343,-0.1398983731997904,-4.542572703044112,-8.073858263005395,-1.0112871430828294,-5.563492620976703,3.704111849774306,0.006394810813862939,**
